Time (CAT);Open;High;Low;Close;Volume 
05/01/2016 00:00:00;1.08326;1.08335;1.08274;1.083;2058.75
05/01/2016 01:00:00;1.08296;1.08296;1.08237;1.08242;3313.03
05/01/2016 02:00:00;1.08242;1.08349;1.08183;1.08315;3228.16
05/01/2016 03:00:00;1.08316;1.08391;1.08225;1.08252;6711.05
05/01/2016 04:00:00;1.08246;1.08288;1.08155;1.08172;4693.07
05/01/2016 05:00:00;1.08172;1.08216;1.08153;1.08197;4165.82
05/01/2016 06:00:00;1.08197;1.08261;1.08193;1.08228;3371.26
05/01/2016 07:00:00;1.08228;1.08347;1.08213;1.08314;5234.42
05/01/2016 08:00:00;1.08315;1.08369;1.0825;1.08279;5766.44
05/01/2016 09:00:00;1.08278;1.08291;1.08044;1.08088;9591.08
05/01/2016 10:00:00;1.08089;1.08187;1.07856;1.07898;15284.59
05/01/2016 11:00:00;1.07897;1.0799;1.07729;1.07745;15745.29
05/01/2016 12:00:00;1.07745;1.0785;1.07651;1.07683;16789.22
05/01/2016 13:00:00;1.07683;1.07689;1.07524;1.07561;11690.72
05/01/2016 14:00:00;1.07561;1.0765;1.07502;1.07517;14212.34
05/01/2016 15:00:00;1.07517;1.07568;1.07392;1.07423;16414.85
05/01/2016 16:00:00;1.07422;1.07575;1.07387;1.07394;15744.24
05/01/2016 17:00:00;1.07393;1.07429;1.07108;1.07219;19334.37
05/01/2016 18:00:00;1.07218;1.07444;1.07199;1.07423;16080.81
05/01/2016 19:00:00;1.07425;1.07488;1.07334;1.07457;9090.64
05/01/2016 20:00:00;1.07456;1.07468;1.07335;1.07343;6926.51
05/01/2016 21:00:00;1.0734;1.0747;1.07335;1.07435;5918.68
05/01/2016 22:00:00;1.07437;1.07533;1.07421;1.07503;6445.84
05/01/2016 23:00:00;1.07501;1.07558;1.07466;1.07483;3833.44
06/01/2016 00:00:00;1.07483;1.07564;1.07468;1.0754;3001.01
06/01/2016 01:00:00;1.07538;1.07589;1.07496;1.07508;3454.63
06/01/2016 02:00:00;1.07509;1.07518;1.07415;1.07444;4275.99
06/01/2016 03:00:00;1.07444;1.07732;1.07394;1.07614;10871.6
06/01/2016 04:00:00;1.07616;1.07708;1.07606;1.0764;8182.57
06/01/2016 05:00:00;1.0764;1.07651;1.07455;1.07457;6849.32
06/01/2016 06:00:00;1.07456;1.07509;1.07456;1.07497;3431.6
06/01/2016 07:00:00;1.07496;1.07506;1.07413;1.07449;3564.41
06/01/2016 08:00:00;1.07451;1.07551;1.07433;1.07456;4944.9
06/01/2016 09:00:00;1.07457;1.0749;1.07194;1.07298;12769.1
06/01/2016 10:00:00;1.07297;1.07429;1.07244;1.07359;13402.42
06/01/2016 11:00:00;1.07358;1.0737;1.07206;1.07348;11081.23
06/01/2016 12:00:00;1.07348;1.07381;1.07255;1.07357;9261.91
06/01/2016 13:00:00;1.07358;1.07523;1.0733;1.0749;12097.5
06/01/2016 14:00:00;1.07489;1.076;1.07404;1.07433;10208.8
06/01/2016 15:00:00;1.07432;1.0756;1.07158;1.07395;19387.2
06/01/2016 16:00:00;1.07396;1.07589;1.07332;1.07568;19252.17
06/01/2016 17:00:00;1.07568;1.07672;1.07405;1.07452;19080.5
06/01/2016 18:00:00;1.07453;1.0763;1.07439;1.07615;13348.02
06/01/2016 19:00:00;1.07616;1.07625;1.07537;1.0755;7491.66
06/01/2016 20:00:00;1.0755;1.07651;1.07528;1.07561;6671.18
06/01/2016 21:00:00;1.0756;1.07996;1.07475;1.07892;18610.48
06/01/2016 22:00:00;1.07887;1.07996;1.07805;1.07875;8994.3
06/01/2016 23:00:00;1.07875;1.07906;1.07801;1.07812;3289.58
07/01/2016 00:00:00;1.07812;1.07836;1.07751;1.07753;3303.04
07/01/2016 01:00:00;1.07754;1.07816;1.0774;1.0777;2878.47
07/01/2016 02:00:00;1.0777;1.07831;1.07744;1.07778;4101.32
07/01/2016 03:00:00;1.07779;1.08101;1.0775;1.08031;13683.48
